Prompt,,"System prompt:
Assume you are an expert professor in Software Engineering conducting a systematic literature review.

Your task is to evaluate studies based on specific criteria:
Inclusion Criteria (IC): Inclusion criteria from primary candidate study
Exclusion Criteria (EC): Exclusion criteria from primary candidate study

For scoring, use only 1 or 0: Assign a score of 1 for strong alignment with all inclusion criteria. Assign a score of 0 if any inclusion criteria are not satisfied or if any exclusion criteria are met.

You’ll score studies based on their title and abstracts.

For the response, use the following format: Response Format: Begin with ‘‘Score: X’’ followed by ‘‘Justification:’’ that explains why the study was considered relevant or not.

User prompt:
Title: Title of a primary candidate study
Abstract: abstract of a primary candidate study",,,,,,,,,,,,
LLM1: CHATGPT,,GPT‑5,,,,,,,,,,,,
LLM2: GEMINI,,2.5 Flash,,,,,,,,,,,,
Base de Dados,Autor(es),Título do artigo,Ano,URL / DOI,Resumo (abstract),Palavras-chave principais,Relevância segundo LLM 1 (Sim/Não),Relevância segundo LLM 2 (Sim/Não),Diferença entre LLM 1 e LLM 2,Justificativa da LLM 1,Justificativa da LLM 2,LLM que apresentou melhor justificativa (1 ou 2),Artigo selecionado para a próxima fase,
Scopus,"Shweta; Mohammed, A.; Mohammadi, M.; Sharma, S.; Sharma, U.; Rana, V.S.; Kumar, M.; Sood, S.; Eghlima, G.","Assessment of advancements and applications of robotics, artificial intelligence, and automated technology in the modern food sector",2025,10.1016/j.afres.2025.101261,"The global food sector is under pressure to enhance production efficiency, safety, and quality due to growing consumer demands, labour shortages, and regulatory requirements. These challenges have driven the adoption of advanced technologies like robotics and AI. The food sector includes many operations, including manufacturing, processing, shipment, distribution, formation, conservation, and food service. The review paper explores the profound influence of robotics in various segments of the food enterprises, highlighting its applications across production, processing, packaging, and service stages. The main objective of this review is to provide a comprehensive overview of how robotics, AI, and automation are transforming food industry operations and addressing key challenges across the value chain. While various studies have explored specific robotics applications in food systems, few offer a holistic, cross-sectoral perspective that links robotics, AI, and automation technologies across different food categories and processing stages. Key findings include improved production efficiency, enhanced food safety, reduced labour dependency, and strengthened quality assurance driven by robotics and AI. Notably, collaborative robots (co-bots) are redefining human-robot interaction by working safely alongside humans to optimize workflow and productivity. This convergence of technologies is driving transformation in major food sectors such as dairy, meat, seafood, beverages, fruits, and vegetables, ensuring quality standards and operational excellence throughout the supply chain. The implications of this technological shift are substantial. Robotics and AI provide effective solutions to persistent industry challenges, including labour shortages and process variability, while laying the groundwork for a more resilient, data-driven, and intelligent food system. Unlike previous works that focus on specific tools or segments, this review distinguishes itself by examining the synergistic integration of robotics, AI, and automation across multiple food sectors. As industry demands continue to evolve, these technologies will remain central to enhancing efficiency, productivity, and competitiveness in the global food landscape. © 2025 Elsevier B.V., All rights reserved.",Artificial intelligence; Automation; Co-bots; Modern industry; Robotics,Não,Não,Igual,"Although the abstract discusses the use of collaborative robots (cobots) and AI in the food sector, which is tangentially related to logistics and industrial contexts, the paper explicitly identifies itself as a review paper — violating Exclusion Criterion EC4 (reviews are excluded).

Moreover, while it covers applications and efficiency impacts, the focus remains broad and descriptive, without mention of case studies, prototypes, or empirical implementations, which conflicts with Inclusion Criterion IC2 (practical data or measurable impacts).

Therefore, despite partial thematic relevance (robots collaborating with humans in production and packaging), it fails the inclusion and exclusion criteria required for scoring a “1.”","The study does not satisfy the inclusion criteria and meets the exclusion criteria as follows:

(IC1) Focus on the Theme: The theme focuses on the food sector, which is not one of the target sectors (logistics, healthcare, or field services). Although it mentions collaborative robots (co-bots), the sector focus is a mismatch.

(IC3) Type of Publication and (EC4) Type of Publication: The abstract explicitly states, ""The review paper explores..."" and ""The main objective of this review is to provide a comprehensive overview..."", indicating it is a Review paper (survey, meta-analysis), which is an Exclusion Criterion (EC4).

(EC2) Excluded Sectors: The exclusive focus on the food sector also falls under the spirit of excluded/non-target sectors, though not explicitly listed like military or domestic robotics.

(EC3) Theoretical/Abstract Focus: As a review, it synthesizes existing literature rather than presenting a practical application, case study, or validated prototype, which aligns with the exclusion criterion against Purely theoretical or simulation-based articles (though for different reasons, the result is the same: it lacks new empirical data).",Ambas,Não,
